Indicator,Year,State,County,Geography,FIPS,Cases,Rate per 100000,Population
HIV prevalence,2016,KY,Adair County,"Adair County, KY",21001,Data suppressed,Data suppressed,NA
HIV prevalence,2015,KY,Adair County,"Adair County, KY",21001,Data suppressed,Data suppressed,NA
HIV prevalence,2014,KY,Adair County,"Adair County, KY",21001,Data suppressed,Data suppressed,NA
HIV prevalence,2013,KY,Adair County,"Adair County, KY",21001,Data suppressed,Data suppressed,NA
HIV prevalence,2012,KY,Adair County,"Adair County, KY",21001,Data suppressed,Data suppressed,NA
HIV prevalence,2011,KY,Adair County,"Adair County, KY",21001,Data suppressed,Data suppressed,NA
HIV prevalence,2010,KY,Adair County,"Adair County, KY",21001,Data suppressed,Data suppressed,NA
HIV prevalence,2009,KY,Adair County,"Adair County, KY",21001,Data suppressed,Data suppressed,NA
HIV prevalence,2008,KY,Adair County,"Adair County, KY",21001,Data suppressed,Data suppressed,NA
HIV prevalence,2016,IA,Adair County,"Adair County, IA",19001,Data suppressed,Data suppressed,NA
HIV prevalence,2013,IA,Adair County,"Adair County, IA",19001,Data suppressed,Data suppressed,NA
HIV prevalence,2012,IA,Adair County,"Adair County, IA",19001,Data suppressed,Data suppressed,NA
HIV prevalence,2011,IA,Adair County,"Adair County, IA",19001,Data suppressed,Data suppressed,NA
HIV prevalence,2010,IA,Adair County,"Adair County, IA",19001,Data suppressed,Data suppressed,NA
HIV prevalence,2016,IA,Adams County,"Adams County, IA",19003,Data suppressed,Data suppressed,NA
HIV prevalence,2010,IA,Adams County,"Adams County, IA",19003,Data suppressed,Data suppressed,NA
HIV prevalence,2016,IN,Adams County,"Adams County, IN",18001,Data suppressed,Data suppressed,NA
HIV prevalence,2015,IN,Adams County,"Adams County, IN",18001,Data suppressed,Data suppressed,NA
HIV prevalence,2014,ID,Adams County,"Adams County, ID",16003,Data suppressed,Data suppressed,NA
HIV prevalence,2013,ID,Adams County,"Adams County, ID",16003,Data suppressed,Data suppressed,NA
HIV prevalence,2012,ID,Adams County,"Adams County, ID",16003,Data suppressed,Data suppressed,NA
HIV prevalence,2011,ID,Adams County,"Adams County, ID",16003,Data suppressed,Data suppressed,NA
HIV prevalence,2010,ID,Adams County,"Adams County, ID",16003,Data suppressed,Data suppressed,NA
HIV prevalence,2009,ID,Adams County,"Adams County, ID",16003,Data suppressed,Data suppressed,NA
HIV prevalence,2008,ID,Adams County,"Adams County, ID",16003,Data suppressed,Data suppressed,NA
HIV prevalence,2014,ND,Adams County,"Adams County, ND",38001,Data suppressed,Data suppressed,NA
HIV prevalence,2013,ND,Adams County,"Adams County, ND",38001,Data suppressed,Data suppressed,NA
HIV prevalence,2012,ND,Adams County,"Adams County, ND",38001,Data suppressed,Data suppressed,NA
HIV prevalence,2011,ND,Adams County,"Adams County, ND",38001,Data suppressed,Data suppressed,NA
HIV prevalence,2010,ND,Adams County,"Adams County, ND",38001,Data suppressed,Data suppressed,NA
HIV prevalence,2009,ND,Adams County,"Adams County, ND",38001,Data suppressed,Data suppressed,NA
HIV prevalence,2008,ND,Adams County,"Adams County, ND",38001,Data suppressed,Data suppressed,NA
HIV prevalence,2016,NE,Adams County,"Adams County, NE",31001,Data suppressed,Data suppressed,NA
HIV prevalence,2015,NE,Adams County,"Adams County, NE",31001,Data suppressed,Data suppressed,NA
HIV prevalence,2014,NE,Adams County,"Adams County, NE",31001,Data suppressed,Data suppressed,NA
HIV prevalence,2013,NE,Adams County,"Adams County, NE",31001,Data suppressed,Data suppressed,NA
HIV prevalence,2012,NE,Adams County,"Adams County, NE",31001,Data suppressed,Data suppressed,NA
HIV prevalence,2011,NE,Adams County,"Adams County, NE",31001,Data suppressed,Data suppressed,NA
HIV prevalence,2010,NE,Adams County,"Adams County, NE",31001,Data suppressed,Data suppressed,NA
HIV prevalence,2009,NE,Adams County,"Adams County, NE",31001,Data suppressed,Data suppressed,NA
HIV prevalence,2008,NE,Adams County,"Adams County, NE",31001,Data suppressed,Data suppressed,NA
HIV prevalence,2015,MN,Aitkin County,"Aitkin County, MN",27001,Data suppressed,Data suppressed,NA
HIV prevalence,2009,MN,Aitkin County,"Aitkin County, MN",27001,Data suppressed,Data suppressed,NA
HIV prevalence,2008,MN,Aitkin County,"Aitkin County, MN",27001,Data suppressed,Data suppressed,NA
HIV prevalence,2016,NC,Alamance County,"Alamance County, NC",37001,Data suppressed,Data suppressed,NA
HIV prevalence,2015,NC,Alamance County,"Alamance County, NC",37001,Data suppressed,Data suppressed,NA
HIV prevalence,2014,NC,Alamance County,"Alamance County, NC",37001,Data suppressed,Data suppressed,NA
HIV prevalence,2013,NC,Alamance County,"Alamance County, NC",37001,Data suppressed,Data suppressed,NA
HIV prevalence,2012,NC,Alamance County,"Alamance County, NC",37001,Data suppressed,Data suppressed,NA
HIV prevalence,2011,NC,Alamance County,"Alamance County, NC",37001,Data suppressed,Data suppressed,NA
HIV prevalence,2010,NC,Alamance County,"Alamance County, NC",37001,Data suppressed,Data suppressed,NA
HIV prevalence,2009,NC,Alamance County,"Alamance County, NC",37001,Data suppressed,Data suppressed,NA
HIV prevalence,2008,NC,Alamance County,"Alamance County, NC",37001,Data suppressed,Data suppressed,NA
HIV prevalence,2016,MI,Alcona County,"Alcona County, MI",26001,Data suppressed,Data suppressed,NA
HIV prevalence,2015,MI,Alcona County,"Alcona County, MI",26001,Data suppressed,Data suppressed,NA
HIV prevalence,2014,MI,Alcona County,"Alcona County, MI",26001,Data suppressed,Data suppressed,NA
